name,producer,vintage,price,availability,country,region,vineyard,classification,wineType,grapes,bottleSize,packaging,fillLevel,store,labelCondition,promoTag,logoFiles,imageFiles
Les Parcelles,Belondrade,2018,250,inStock,Spain,Rueda,,,white,Verdejo,750ml,noPackaging,,myFineWine030,Label appears to be in good condition with clear white text on dark background. Some minor surface scratches or marks visible on the label but text remains legible. Bottle appears clean with standard capsule.,"homeFeatured, newArrivals",,"les-parcelles-belondrade-1.webp, les-parcelles-belondrade-2.webp"
Bila-Haut Banyuls Rimage,M. Chapoutier,2017,16,inStock,France,Languedoc-Roussillon,,AOC/AOP,fortified,Carignan,500ml,noPackaging,fullNeck,myShop,"Labels appear to be in good condition with clear text and intact gold bands. Dark bottles make it difficult to assess capsule condition in detail, but bottles appear well-maintained with no visible damage.","homeFeatured, newArrivals",gregorian-logo.svg,"bila-haut-banyuls-rimage-m.-chapoutier-1.webp, bila-haut-banyuls-rimage-m.-chapoutier-2.webp"
Banyuls Grand Cru,Mas de la Serra,1995,30,inStock,France,Languedoc-Roussillon,,Grand Cru,fortified,,750ml,noPackaging,,gregorianWines,Label appears to be in good condition with clear text and minimal signs of aging. The bottle shows some dust accumulation typical of aged wine storage. Capsule appears intact.,"homeFeatured, newArrivals",,"banyuls-grand-cru-mas-de-la-serra-1.webp, banyuls-grand-cru-mas-de-la-serra-2.webp"
Meursault-Charmes Premier Cru,Domaine Potinet-Ampeau,,110,inStock,France,"Meursault, Burgundy",Les Charmes,Premier Cru (1er Cru),white,Chardonnay,750ml,noPackaging,,myFineWine030,"Label appears to be in good condition, clean and intact with clear text. White label with traditional Burgundy styling. Capsule appears intact.","homeFeatured, newArrivals",,"meursault-charmes-premier-cru-domaine-potinet-ampeau-1.webp, meursault-charmes-premier-cru-domaine-potinet-ampeau-2.webp"
Meursault-Charmes Premier Cru,Domaine des Comtes Lafon,2022,275,inStock,France,"Meursault, Beaune, Côte de Beaune, Burgundy",,Premier Cru (1er Cru),white,Chardonnay,750ml,noPackaging,,myFineWine030,"Label appears to be in excellent condition with clean, crisp text and intact borders. No visible staining, tearing, or fading. The cream-colored label shows clear typography and coat of arms emblem at top.","homeFeatured, newArrivals",,"meursault-charmes-premier-cru-domaine-des-comtes-lafon-1.webp, meursault-charmes-premier-cru-domaine-des-comtes-lafon-1.webp"
Mercurey Premier Cru Clos des Barraults,Domaine Michel Juillot,2011,35,inStock,France,"Mercurey, Burgundy",Clos des Barraults,Premier Cru (1er Cru),red,Pinot Noir,750ml,noPackaging,,myShop,Label appears to be in good condition with clear text and intact edges. The bottle shows normal aging with no visible damage to the capsule or label. The white label with black text is clean and readable.,"homeFeatured, newArrivals",,mercurey-premier-cru-clos-des-barraults-domaine-michel-juillot.webp
Juliénas Les Chanoriers,Corinne Gonin,,,inStock,France,"Juliénas, Beaujolais, Beaujolais-Villages, Burgundy",,,red,Gamay,750ml,noPackaging,,dawgWines,Label appears to be in good condition with clean white background and clear black text and decorative circular design. Purple wax capsule appears intact. No visible damage or staining.,homeFeatured,gregorian-logo.svg,"juliénas-les-chanoriers-corinne-gonin-1.webp, juliénas-les-chanoriers-corinne-gonin-2.webp"
20 Years Old Tawny,Niepoort,,65,,Portugal,"Porto, Douro",,,port,,750ml,noPackaging,,myShop,"Label appears to be in good condition, intact and clean. White label with black circular element containing wine information. Bottle appears to be properly stored in wooden case.","homeFeatured, newArrivals",,"20-years-old-tawny-niepoort-1.webp, 20-years-old-tawny-niepoort-2.webp"
Morey-Saint-Denis Premier Cru Les Faconnières,Domaine Marchand Frères,1999,90,inStock,France,"Morey-Saint-Denis, Burgundy",Les Faconnières,Premier Cru (1er Cru),red,Pinot Noir,750ml,noPackaging,,gregorianWines,Label appears to be in good condition with clear text and intact borders. The capsule appears intact with a burgundy/red color. No visible damage or significant aging signs on the label.,"homeFeatured, newArrivals",gregorian-logo.svg,"morey-saint-denis-premier-cru-les-faconnières-domaine-marchand-frères-1.webp, morey-saint-denis-premier-cru-les-faconnières-domaine-marchand-frères-2.webp"
Cava Ca Lliga,Ca Lliga,1977,25,inStock,Spain,Cava,,,sparkling,,750ml,noPackaging,,gregorianWines,Label appears to be in good condition with clear text visible. The label shows Greek text below the main name. There appears to be some minor wear but overall the label is intact and readable. The bottle has a cream-colored capsule that appears to be in good condition.,"homeFeatured, newArrivals",gregorian-logo.svg,"cava-ca-lliga-ca-lliga-1.webp, cava-ca-lliga-ca-lliga-2.webp"
Coteaux du Layon Beaume de Venise Muscat,Domaine de Durban,2003,35,inStock,France,"Coteaux du Layon, Loire Valley","Coteaux du Layon, Loire Valley",AOC/AOP,dessert,Muscat,750ml,noPackaging,,klassiekRood,Label appears to be in good condition with clear text and minimal wear. The golden capsule appears intact. The bottle shows the golden color typical of dessert wines through the glass.,homeFeatured,,coteaux-du-layon-beaume-de-venise-muscat-domaine-de-durban.webp
Cristal,Louis Roederer,2000,375,inStock,France,Champagne,,,sparkling,"Chardonnay, Pinot Noir",750ml,originaGiftBox,,wijnmetpieter,Bottle appears to be in protective plastic wrapping. The amber-colored glass bottle shows the characteristic Cristal design with embossed text and logos. Label appears to be in good condition underneath the protective wrapping. Comes with original presentation box.,"homeFeatured, newArrivals",,"cristal-louis-roederer-1.webp, cristal-louis-roederer-2.webp"
Dom Pérignon Vintage,Moët & Chandon,1985,370,inStock,France,Champagne,,Vintage,sparkling,"Chardonnay, Pinot Noir",750ml,originalWoodenCase,,myShop,Label appears to be in good condition with clear text and branding visible. The bottle shows some age-appropriate patina but overall appears well-preserved. Capsule appears intact.,"homeFeatured, newArrivals",,dom-pérignon-vintage-moët-&-chandon.webp
Muscat de Beaumes de Venise,Domaines de Beaumes de Venise,,25,inStock,France,Rhône Valley,,,dessert,Muscat,750ml,noPackaging,fullNeck,gregorianWines,Label appears to be in good condition with clear text and graphics visible. The bottle has a distinctive amber/golden color liquid. The capsule appears intact with gold coloring. No visible damage or significant aging signs on the label.,"homeFeatured, newArrivals",gregorian-logo.svg,"muscat-de-beaumes-de-venise-domaines-de-beaumes-de-venise-1.webp, muscat-de-beaumes-de-venise-domaines-de-beaumes-de-venise-2.webp"
Muscat de Beaumes de Venise,Bas Déré,2000,30,inStock,France,Rhône Valley,Bas Déré,AOC/AOP,dessert,Muscat,750ml,noPackaging,,klassiekRood,Label appears to be in good condition with clear text and graphics visible. The capsule appears intact. No obvious signs of damage or excessive aging visible from this angle.,homeFeatured,gregorian-logo.svg,"muscat-de-beaumes-de-venise-bas-déré-1.webp, muscat-de-beaumes-de-venise-bas-déré-2.webp"
Jas d'Esclans,Famille De Wulf,2022,"10,5",inStock,France,Provence,,Cru Classé,rose,,750ml,noPackaging,,michelSteve,Label intact and in good condition.,homeFeatured,gregorian-logo.svg,"jas-desclans-famille-de-wulf-1.webp, jas-desclans-famille-de-wulf-2.webp"
Meursault-Genevrières Premier Cru,Domaine Latour-Giraud,,125,inStock,fr,"Meursault, Burgundy",Les Genevrières,Premier Cru (1er Cru),white,Chardonnay,750ml,noPackaging,,cwh,"Label appears to be in good condition with clear text and intact appearance. The white label shows good preservation with visible producer logo and text. No obvious staining, tears, or damage visible.","homeFeatured, newArrivals",,"meursault-genevrières-premier-cru-domaine-latour-giraud-1.webp, meursault-genevrières-premier-cru-domaine-latour-giraud-2.webp"
Morey Saint Denis Premier Cru Aux Cheseaux,Domaine Castagnier,2023,95,inStock,France,"Morey-Saint-Denis, Burgundy",,Premier Cru (1er Cru),red,Pinot Noir,750ml,noPackaging,,cwh,"Label appears to be in excellent condition with clear, crisp text and intact coat of arms. No visible damage, staining, or wear. The label looks pristine with good color saturation.","homeFeatured, newArrivals",,"morey-saint-denis-premier-cru-aux-cheseaux-domaine-castagnier-1.webp, morey-saint-denis-premier-cru-aux-cheseaux-domaine-castagnier-2.webp"
Rosé Brut,Nicolas Feuillatte,1999,100,inStock,France,Champagne,,,sparkling,,750ml,noPackaging,,wijnmetpieter,Labels appear to be in good condition with clear text and intact appearance. Rose gold/copper colored foil capsules appear intact. Bottles are properly stored in protective packaging.,"homeFeatured, newArrivals",,"rosé-brut-nicolas-feuillatte-1.webp, rosé-brut-nicolas-feuillatte-2.webp"
Kopke 2001 Vintage Port,Kopke,2001,45,inStock,Portugal,"Porto, Douro",,Vintage,port,,750ml,noPackaging,,gregorianWines,Labels appear to be in good condition with clear white text on black bottles. Capsules appear intact. Bottles show minimal signs of aging with good overall presentation.,"homeFeatured, newArrivals",gregorian-logo.svg,"kopke-2001-vintage-port-kopke-1.webp, kopke-2001-vintage-port-kopke-2.webp"
Muscat de Beaumes de Venise,Carte Or,2001,35,inStock,France,"Beaumes-de-Venise, Muscat de Beaumes-de-Venise, Rhône Valley",,AOC/AOP,dessert,Muscat,750ml,noPackaging,,bbVintageWines,Label appears to be in good condition with intact blue and gold decorative design. The bottle shows some signs of age appropriate for a 2001 vintage. Capsule appears intact.,homeFeatured,gregorian-logo.svg,"muscat-de-beaumes-de-venise-carte-or-1.webp, muscat-de-beaumes-de-venise-carte-or-2.webp"
Sandeman Old Tawny Porto 10 Year,Sandeman,,25,inStock,Portugal,"Porto, Douro",,,port,,750ml,noPackaging,,myShop,Label appears to be in good condition with bright yellow coloring and clear text. The bottle has a black capsule that appears intact. No visible damage or signs of aging on the label.,"homeFeatured, newArrivals",,sandeman-old-tawny-porto-10-year-sandeman.webp
Cuvée Spéciale,Nicolas Feuillatte,1989,120,inStock,France,Champagne,,,sparkling,,750ml,noPackaging,,andreas,Label appears to be in good condition with clear text and branding visible. The bottle shows typical champagne presentation with gold foil capsule that appears intact. The dark green bottle is characteristic of champagne bottles.,homeFeatured,,"cuvée-spéciale-nicolas-feuillatte-1.webp, cuvée-spéciale-nicolas-feuillatte-2.webp"
Château Coullac,Lapeyre-Despujols,1962,50,inStock,France,,,,dessert,,750ml,noPackaging,,gregorianWines,Label is intact with some minor wear; capsule is intact but appears aged.,"homeFeatured, newArrivals",gregorian-logo.svg,"château-coullac-lapeyre-despujols-1.webp, château-coullac-lapeyre-despujols-2.webp"
Regina Viarum Mencia Barrica,Ribeira Sacra,,10,inStock,Spain,Ribeira Sacra,,,red,,750ml,noPackaging,,gregorianWines,Label appears to be in good condition with clean black background and white wave-pattern graphics. Red capsule appears intact. No visible damage or aging signs on the label.,"homeFeatured, newArrivals",gregorian-logo.svg,"regina-viarum-mencia-barrica-ribeira-sacra-1.webp, regina-viarum-mencia-barrica-ribeira-sacra-2.webp"
10 Years Old Tawny,Niepoort,,25,,Portugal,"Porto, Douro",,,port,,750ml,noPackaging,,bbVintageWines,Label appears to be in good condition with clear text and intact appearance. Black bottle with red capsule/foil top appears undamaged. Bottle shows normal handling wear but overall good presentation.,"homeFeatured, newArrivals",,"sandeman-old-tawny-porto-10-year-sandeman-1.webp, sandeman-old-tawny-porto-10-year-sandeman-2.webp"
Scharzhofberger Spätlese,Egon Müller,2025,220,inStock,Germany,Mosel,,,white,Riesling,750ml,noPackaging,fullNeck,midasWijn,Label appears to be in good condition with clear text and imagery visible. White label with black text and decorative vineyard illustration. Green bottle typical of German Riesling. No visible damage or staining to the label.,"homeFeatured, newArrivals",,"scharzhofberger-spätlese-egon-müller-1.webp, scharzhofberger-spätlese-egon-müller-2.webp"